date,time,username,name,tweet,tweet_en,replies_count,retweets_count,likes_count
2021-02-02,5:19:01,sugawitter,菅 義偉,引き続き、制約の多い生活でご苦労をおかけしますが、お一人お一人が行動を変えていただくことで、感染をさらに大幅に縮小させることができます。今一度のご協力を、国民の皆様にお願い申し上げます。,"Continue, We apologize for the hardships in the constraints of many life, but by one person per person is asked to change the behavior, you can be further significantly reduced the infection. Once of the cooperation now, thank you to the people of everybody.",433,385,3276
2021-02-02,5:18:21,sugawitter,菅 義偉,新型コロナウイルスの発生から1年が経ちました。日本でも世界でも、ウイルスとの闘いは続いています。国民の皆様の不安を少しでも解消し、一日も早く安心できる暮らしを取り戻すために、私のすべての力を注いで取り組んでまいります。,"1 year from the occurrence of the new coronavirus have passed. Both in Japan and around the world, the fight against the virus has continued. To eliminate the anxiety of the people of everybody, even a little, in order to get back the lives that can be safe one day soon, we will work pour all my force.",99,329,2933
2021-02-02,5:17:03,sugawitter,菅 義偉,重層的なセーフティーネットにより事業を守り、雇用と暮らしを守り、困難を抱えた方々を支えていきます。 ワクチンについては、有効性、安全性を確認した上で、2月中旬に接種をスタートしたいと思います。政府をあげて準備を進めます。,"Protect the business through multi-level safety net, to protect the employment and living, will continue to support the people who were having difficulty. For the vaccine, effectiveness, after confirming the safety, I would like to start a vaccination in mid-February. We are gearing up to raise the government.",62,225,1192
2021-02-02,5:16:14,sugawitter,菅 義偉,ここで、感染の減少傾向を確かなものにしなければならない、そう判断いたしました。  飲食店の時間短縮を中心にメリハリをつけた、これまでの対策をさらに徹底することで減少傾向を継続し、入院者、重症者をさらに減少させ、自治体と連携し医療体制を確保します。,"Here, must be to ensure its downward trend of the infection, we have determined so. Wearing a sharp around the time shortening of the restaurant, continuing the downward trend by more thorough measures so far, hospitalizations, severe person is further reduced, to ensure the health care system in cooperation with local governments.",56,242,1309
2021-02-02,5:15:17,sugawitter,菅 義偉,また先般、内閣の一員である副大臣やわが党に所属した議員が深夜まで会食した問題はあってはならないことであります。素直にお詫びを申し上げます。  皆様のご協力により、全国の感染者数は大幅に減少してきており、対策の効果がはっきりと出始めています。,"Also recently, a problem that lawmakers who belong to the Deputy Minister and our party that is a member of the Cabinet was dinner until midnight will is that there should not be. I would like to honestly apologize. By the cooperation of everyone, infected number of people across the country has been greatly reduced, the effect of the measures have begun to appear clearly.",93,305,1644
2021-02-02,5:13:44,sugawitter,菅 義偉,緊急事態宣言について、栃木県は2月7日で解除、それ以外の10都府県は3月7日まで1ヶ月延長することとしました。 これまでの国民の皆様のご協力に感謝申し上げますとともに、全ての地域で緊急事態宣言を終えることができず、誠に申し訳なく思っております。,"For emergency declaration, Tochigi Prefecture released by February 7, and the other 10 prefectures had decided to one-month extension until March 7. Along with the Thank you for your cooperation of the people of everyone so far, it is impossible to finish a state of emergency declared in all regions, we think without truly sorry.",1032,1559,8123
2021-01-29,4:23:38,sugawitter,菅 義偉,ダボス・アジェンダに出席しました。 感染症対応、グリーン社会の実現やデジタル改革、自由貿易へのコミットメント、東京オリンピック・パラリンピックの実現に向けた決意についてお話し、シュワブ世界経済フォーラム会長や参加したCEOの皆さんと有意義な議論ができました。  https://t.co/lentWPRX7U,"I attended the Davos agenda. Infectious diseases correspondence, realization and digital reform of the green society, was able to free commitment to trade, talk about the commitment towards the realization of the Tokyo Olympic and Paralympic, everyone and meaningful discussion of Schwab World Economic Forum Chairman and participating CEO . https://t.co/lentWPRX7U",1190,272,2203
2021-01-27,20:19:44,sugawitter,菅 義偉,and cooperating on North Korean denuclearization.  This was my second telephone conversation with President Biden since he won the election. I look forward to deepening my personal relationship with the President and to working closely with him to further strengthen our alliance.,and cooperating on North Korean denuclearization. This was my second telephone conversation with President Biden since he won the election. I look forward to deepening my personal relationship with the President and to working closely with him to further strengthen our alliance.,104,82,571
2021-01-27,20:19:06,sugawitter,菅 義偉,"We also agreed; working together on transnational issues including COVID-19 &amp; climate change; that Art. 5 of the Japan-US Security Treaty covers the Senkakus; deepening cooperation between the US, Japan, Australia &amp; India; achieving an early resolution of the abductees issue;","We also agreed; working together on transnational issues including COVID-19 & amp; climate change; that Art 5 of the Japan-US Security Treaty covers the Senkakus;. Deepening cooperation between the US, Japan, Australia & amp; India; achieving an early resolution of the abductees issue;",66,97,634
2021-01-27,20:18:14,sugawitter,菅 義偉,We agreed to work closely together to further strengthen the Japan-US alliance and to realise a free and open Indo-Pacific.,We agreed to work closely together to further strengthen the Japan-US alliance and to realise a free and open Indo-Pacific.,9,58,334
